,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
3,1,"['X', 'Y']",linear,0.1714135304144625,"(0.46610972478155727, 0.20369470838303871, 0.2841067528134452)",2,2,0.8888888888888888,0.8333333333333334,0.8380952380952381
9,1,"['XX', 'Y']",linear,0.1714135304144625,"(0.46610972478155727, 0.20369470838303871, 0.2841067528134452)",3,2,0.8888888888888888,0.8333333333333334,0.8380952380952381
10,1,"['Y', 'XZ']",linear,0.1704139563444097,"(0.44067324193045426, 0.1840589967608287, 0.26827266428002255)",3,3,0.8888888888888888,0.8333333333333334,0.8380952380952381
6,1,"['Z', 'XY']",linear,0.1704139563444097,"(0.44067324193045426, 0.1840589967608287, 0.26827266428002255)",3,3,0.8888888888888888,0.8333333333333334,0.8380952380952381
5,1,"['Y', 'Z']",linear,0.14283663768987293,"(0.46113915593376736, 0.2641700072979352, 0.35287413404184886)",2,2,0.9259259259259259,0.9166666666666666,0.9131652661064426
10,1,"['YX', 'Y']",linear,0.1423917302860702,"(0.3733515774831402, 0.17630273124323106, 0.2640373455754623)",3,2,0.9259259259259259,0.9166666666666666,0.9131652661064426
16,1,"['ZX', 'Y']",linear,0.14189402599779147,"(0.3695345287350798, 0.1770426292417613, 0.26833878174402576)",3,3,0.9333333333333332,0.9166666666666666,0.9185185185185185
3,1,"['Y', 'ZZ']",linear,0.13025630167870697,"(0.37580278569064207, 0.19274200672795702, 0.27019383112268586)",3,2,0.7407407407407408,0.75,0.7394957983193278
17,1,"['Z', 'YY']",linear,0.13025630167870697,"(0.37580278569064207, 0.19274200672795702, 0.27019383112268586)",3,2,0.7407407407407408,0.75,0.7394957983193278
4,2,"['Y', 'X']",linear,0.12985888717149446,"(0.5099186220763626, 0.2844480336327425, 0.31869521953211133)",2,2,1.0,1.0,1.0
6,3,"['Z', 'Y']",linear,0.12881304737349475,"(0.5366533444493164, 0.3185561217665843, 0.35808499383084175)",2,2,0.7714285714285714,0.75,0.7555555555555555
8,3,"['Y', 'X']",linear,0.10894669229966142,"(0.4863285476600387, 0.29738458051568933, 0.3263339979706628)",2,2,0.7407407407407408,0.75,0.7394957983193278
8,3,"['Y', 'ZZ']",linear,0.06228719063140489,"(0.3440104798406289, 0.24816179578089145, 0.27688749298396387)",3,2,0.5555555555555555,0.5833333333333334,0.565826330532213
13,1,"['Y', 'YX']",linear,0.06173851569566724,"(0.30073291642239536, 0.2210065916161159, 0.26475729820117094)",3,2,0.6095238095238096,0.5833333333333334,0.5925925925925926
7,1,"['YZ', 'Z']",linear,0.058774655813932264,"(0.29021684878389126, 0.21785380371576896, 0.2630400702755112)",3,2,0.7407407407407408,0.75,0.7394957983193278
14,1,"['Z', 'ZZ']",linear,0.056802919013524245,"(0.290141965866011, 0.2190216036546117, 0.261507079470261)",3,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
