,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
36,1,"['Z', 'X']",linear,0.25900545429783706,"(0.5284495379346134, 0.339459573135221, 0.6684805169315029)",2,2,1.0,1.0,1.0
36,3,['X'],linear,0.25900545429783706,"(0.5284495379346134, 0.339459573135221, 0.6684805169315029)",1,1,1.0,1.0,1.0
20,2,['Z'],linear,0.25900545429783706,"(0.5284495379346134, 0.339459573135221, 0.6684805169315029)",1,1,1.0,1.0,1.0
24,1,"['Y', 'X']",linear,0.25900545429783706,"(0.5284495379346134, 0.339459573135221, 0.6684805169315029)",2,2,1.0,1.0,1.0
32,2,"['X', 'Z']",linear,0.24936186680895447,"(0.3866436223801746, 0.1531158005484856, 0.4183117123347056)",2,2,1.0,1.0,1.0
14,3,"['Y', 'X']",linear,0.23237441126675795,"(0.2987867662568458, 0.26267352630414176, 0.6913091088849536)",2,2,0.9285714285714285,0.9166666666666666,0.9160839160839161
10,2,"['Z', 'Z']",linear,0.1829073574463227,"(0.45372092560218724, 0.30422133912734756, 0.5205364675451533)",2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,3,"['X', 'X']",linear,0.1829073574463227,"(0.45372092560218724, 0.30422133912734756, 0.5205364675451533)",2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
39,1,"['Z', 'XX']",linear,0.16221324548054783,"(0.27792450887534415, 0.27560443594662526, 0.597710853979002)",3,2,0.9285714285714285,0.9166666666666666,0.9160839160839161
27,1,"['Y', 'XX']",linear,0.16221324548054783,"(0.27792450887534415, 0.27560443594662526, 0.597710853979002)",3,2,0.9285714285714285,0.9166666666666666,0.9160839160839161
1,1,['Y'],linear,0.1606525366785686,"(0.27826916693972226, 0.2829827056871623, 0.6090013177917395)",1,1,1.0,1.0,1.0
4,1,"['XX', 'Z']",linear,0.1606525366785686,"(0.27826916693972226, 0.2829827056871623, 0.6090013177917395)",3,2,1.0,1.0,1.0
3,1,"['XX', 'Y']",linear,0.1606525366785686,"(0.27826916693972226, 0.2829827056871623, 0.6090013177917395)",3,2,1.0,1.0,1.0
18,2,['X'],linear,0.1606525366785686,"(0.27826916693972226, 0.2829827056871623, 0.6090013177917395)",1,1,1.0,1.0,1.0
37,3,['Y'],linear,0.1606525366785686,"(0.27826916693972226, 0.2829827056871623, 0.6090013177917395)",1,1,1.0,1.0,1.0
14,1,"['X', 'Z']",linear,0.1606525366785686,"(0.27826916693972226, 0.2829827056871623, 0.6090013177917395)",2,2,1.0,1.0,1.0
2,1,['Z'],linear,0.1606525366785686,"(0.27826916693972226, 0.2829827056871623, 0.6090013177917395)",1,1,1.0,1.0,1.0
13,1,"['X', 'Y']",linear,0.1606525366785686,"(0.27826916693972226, 0.2829827056871623, 0.6090013177917395)",2,2,1.0,1.0,1.0
27,3,"['Z', 'Y']",linear,0.15734254172808,"(0.4411816239600613, 0.25876276103713697, 0.39102898157037264)",2,2,0.7571428571428571,0.75,0.7482517482517482
20,3,"['Y', 'YX']",linear,0.1494563323070268,"(0.2826525216685565, 0.21441017485837857, 0.44508049266225425)",3,2,0.7571428571428571,0.75,0.7482517482517482
42,3,"['ZZ', 'X']",linear,0.14660080333251962,"(0.4153243354829613, 0.2596371907280919, 0.3971516526382617)",3,2,1.0,1.0,1.0
11,2,"['Z', 'XX']",linear,0.14322350804350187,"(0.367242364955834, 0.2596647285905769, 0.4385341083123235)",3,2,0.9285714285714285,0.9166666666666666,0.9160839160839161
3,3,"['X', 'Y']",linear,0.141734840709966,"(0.28553293561050935, 0.26048111282799513, 0.5188989714654129)",2,2,0.7571428571428571,0.75,0.7482517482517482
