,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
33,1,"['Y', 'ZX']",linear,0.15571820342204537,"(0.33059394221545474, 0.175125085140685, 0.331092634910006)",3,3,0.9285714285714285,0.9166666666666666,0.9160839160839161
42,1,"['Z', 'YX']",linear,0.15571820342204537,"(0.33059394221545474, 0.175125085140685, 0.331092634910006)",3,3,0.9285714285714285,0.9166666666666666,0.9160839160839161
22,2,"['YY', 'X']",linear,0.15007323716704982,"(0.3330699511023133, 0.18760078873643724, 0.34227810070466086)",3,2,0.875,0.8333333333333334,0.8285714285714286
34,1,"['Y', 'ZY']",linear,0.1470797637173355,"(0.33125834401628773, 0.1904926808603754, 0.3438865451391341)",3,2,0.9285714285714285,0.9166666666666666,0.9160839160839161
3,1,"['XX', 'Y']",linear,0.14500097611767504,"(0.330194732737665, 0.19367992620050867, 0.3471670718987025)",3,2,0.7571428571428571,0.75,0.7482517482517482
37,3,['Y'],linear,0.14500097611767504,"(0.330194732737665, 0.19367992620050867, 0.3471670718987025)",1,1,0.7571428571428571,0.75,0.7482517482517482
14,1,"['X', 'Z']",linear,0.14500097611767504,"(0.330194732737665, 0.19367992620050867, 0.3471670718987025)",2,2,0.7571428571428571,0.75,0.7482517482517482
13,1,"['X', 'Y']",linear,0.14500097611767504,"(0.330194732737665, 0.19367992620050867, 0.3471670718987025)",2,2,0.7571428571428571,0.75,0.7482517482517482
4,1,"['XX', 'Z']",linear,0.14500097611767504,"(0.330194732737665, 0.19367992620050867, 0.3471670718987025)",3,2,0.7571428571428571,0.75,0.7482517482517482
18,2,['X'],linear,0.14500097611767504,"(0.330194732737665, 0.19367992620050867, 0.3471670718987025)",1,1,0.7571428571428571,0.75,0.7482517482517482
1,1,['Y'],linear,0.14500097611767504,"(0.330194732737665, 0.19367992620050867, 0.3471670718987025)",1,1,0.7571428571428571,0.75,0.7482517482517482
2,1,['Z'],linear,0.14500097611767504,"(0.330194732737665, 0.19367992620050867, 0.3471670718987025)",1,1,0.7571428571428571,0.75,0.7482517482517482
44,1,"['Z', 'YZ']",linear,0.14322907318807432,"(0.32009228612079366, 0.18853882364107888, 0.3434435075375128)",3,2,0.9285714285714285,0.9166666666666666,0.9160839160839161
42,2,"['Y', 'X']",linear,0.12631024304598487,"(0.3394533776180859, 0.1980181981263765, 0.3092035047266369)",2,2,0.7571428571428571,0.75,0.7482517482517482
26,1,"['Y', 'Z']",linear,0.11128624272769572,"(0.44037569510974567, 0.3528378956611641, 0.48787258166797387)",2,2,0.7571428571428571,0.75,0.7482517482517482
37,1,"['Z', 'Y']",linear,0.11128624272769572,"(0.44037569510974567, 0.3528378956611641, 0.48787258166797387)",2,2,0.7571428571428571,0.75,0.7482517482517482
9,2,"['Z', 'Y']",linear,0.10817749453781111,"(0.3346176690699123, 0.21242704336092066, 0.3065914067275512)",2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
40,2,"['X', 'ZY']",linear,0.10478699557987328,"(0.3205485495080458, 0.20260641822531542, 0.2942382781023316)",3,3,0.9285714285714285,0.9166666666666666,0.9160839160839161
17,1,"['YZ', 'Y']",linear,0.10115796251185039,"(0.32922345865585845, 0.2216924806626417, 0.31647742769312565)",3,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
41,1,"['ZY', 'Y']",linear,0.10115796251185039,"(0.32922345865585845, 0.2216924806626417, 0.31647742769312565)",3,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
